"country","GHGC","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"Estonia",15.541,56.33,0.5216,70.76,0.356249631748285,0.0369619295699723,0.109559124818245
"Ethiopia",1.874,23.47,0.1639,97.73,0,0,-0.837543320263012
"Fiji",0.317,21.38,0.159,103,0,0,-0.0881626873375469
"Finland",11.123,61.59,0.4069,79.72,0,0.0455472272644099,0.776064863733812
"France",5.56,114.21,0.2944,96.19,0.00837614758843157,0.0577768591541533,0.210219404843633
"Gabon",6.592,12.55,0.2336,95.17,20.0786791737458,0.016637313438962,-0.514210666170798
"Georgia",4.222,34.29,0.1085,103.82,0.05153740022481,0.058638078006999,-0.531192326795991
"Germany",9.343,112.51,0.1435,80.94,0.0157707639858321,0.108585587181098,0.336088450062035
"Ghana",0.658,12.48,0.1755,105.72,4.49105418701517,0.00509926520974688,-0.737279893916902
"Greece",8.186,55.61,0.3066,101.32,0.0289174335285405,0.0435414467811124,0.322573089752079
"Guatemala",2.244,84.52,0.1186,92.71,0.195061191816103,0,-0.60459645721772
"Guinea",3.316,1.86,0.3061,106.8,0,0,-0.802222917950523
"Guyana",24.544,42.16,0.6033,103.92,0,0,-0.0265853292677395
"Honduras",2.934,76.91,0.1665,115.94,0,0,-0.581835096823244
"Hungary",6.47,94.35,0.4633,99.71,0.148704729448611,0.0992691968589523,-0.0842138385192565
"Iceland",9.949,97.05,0.3594,77.91,0,0,1.94532755451613
"India",2.474,104.45,0.1248,107.19,0.454587640647553,0.00408006746360781,-0.719667017963666
"Indonesia",6.366,63.1,0.1917,109.34,1.175772264993,0.0169879378351419,-0.597447023129658
"Iraq",5.625,32.95,0.1366,66.98,44.3055358892491,0.0363743322053249,0.201374769709213
"Ireland",12.927,201.42,0.0938,70.78,0,0.107682861462159,0.533017059283262
"Israel",10.49,103.87,0.0577,87.42,0.0103026883373587,0.0996995392974324,0.249525600977059
"Italy",6.38,64.93,0.1511,95.96,0.0698119417148875,0.116410275742808,0.0322262185745769
"Jamaica",3.475,17.23,0.0733,102.26,0,0.00322336633699413,-0.130281380111034
"Japan",9.078,83.57,0.0347,97.26,0.00106198340904378,0.082352797958882,0.412494578042247
"Jordan",3.593,71.19,0.0281,81.54,0.000993258609415039,0.0516989609703715,-0.394597281725782
"Kazakhstan",14.805,2.71,1.631,112.77,15.6114651371934,0.0820581772549847,-0.0964211555187365
"Kenya",1.386,18.77,0.1232,102.04,0.00504107702605338,0,-0.770944295202046
"Kuwait",27.305,178.57,0.0034,90.5,45.1216846929565,0.509703523804695,3.52422311288515
"Latvia",4.61,57.21,0.6757,73.01,0,0.0713942845063887,-0.0848946849300232
"Lebanon",4.998,62.33,0.0396,110.09,0,0,0.184189503093623
"Libya",15.428,7.37,0.307,96.37,42.4708271366993,0.0679297512577913,0.562488328730765
"Lithuania",6.501,74.12,0.7679,77.61,0.0334291574853369,0.0799090768174969,0.17264143742803
"Luxembourg",16.45,204.76,0.1054,96.46,0,0.123714355880474,3.56866903824711
"Madagascar",1.572,7.97,0.1371,94.42,0.145433336368669,0,-0.844174162345782
"Malawi",1.479,23.18,0.2094,105.98,0,0,-0.853753789493333
"Malaysia",12.31,46.69,0.2628,99.01,2.88759408253797,0.117205399828724,0.0885629317762678
"Maldives",4.615,75.2,0.0105,89.66,0,0,0.101421693195066
"Mali",2.293,15.7,0.3439,113.96,0,0,-0.824254052614772
"Malta",4.621,56.43,0.0236,60.99,0,0.0687494940780977,3.74052682092015
"Mauritius",5.295,93.78,0.0623,81.85,0,0,0.25408858445345
"Mexico",5.51,58.91,0.1791,109.51,2.27127886854115,0.0636690422359428,-0.185893126025684
"Mongolia",17.576,30.41,0.4203,99.48,2.33919154107498,0,-0.483948749756618
"Montenegro",6.101,85.99,0.0233,104.66,0,0,-0.320879751382366
"Morocco",2.563,22.15,0.2644,112.5,0.00185811508634421,0.00297941792906695,-0.527814636740038
"Mozambique",3.732,4.46,0.2017,126.14,0.105275901119442,0.00393661489283419,-0.823718484322704
"Myanmar",4.313,21.55,0.2344,96.57,0.212886915708654,0.00847818263129695,-0.758489600763084
"Namibia",9.186,25.13,0.3308,105.54,0,0,-0.410427820830074
"Nauru",7.492,0,0.0375,96.7,0,0,0.629666626869569
"Nepal",1.942,54.72,0.0828,102.68,0,0,-0.785497625680961
"Netherlands",10.551,197.16,0.0621,92.03,0.0222178247378531,0.238228056183849,1.44737437978634
"Nicaragua",5.981,26.99,0.2769,112.18,0,0,-0.642954551511658
"Niger",2.063,0.36,0.7938,108.88,1.64020030444725,0,-0.846752624521645
"Nigeria",1.825,10.52,0.2119,104.5,8.84870568166443,0.00915388145155965,-0.7717340405067
"Norway",5.324,126.99,0.151,70.07,5.21241127534779,0.0749168254094462,0.919104192432079
"Oman",17.045,94.44,0.0225,122.65,26.6782668701549,0.478364685219617,1.23094555867828
"Pakistan",2.065,107.87,0.1506,90.99,0.492026170782626,0.0216040992342686,-0.744434386256262
"Panama",5.365,16.99,0.1638,107.53,0,0.00445112427931561,0.779327300773704
"Papua New Guinea",7.447,31.74,0.1162,94.83,2.3460751554751,0.0011019304478055,-0.661603719009228
"Paraguay",13.699,27.6,0.6932,106.92,0,0,-0.514503546206778
"Peru",5.82,41.71,0.1844,107.33,0.326773501052596,0.0230063802140747,-0.5275366516306
"Philippines",2.202,58.46,0.1042,97.52,0.00915416821005933,0.00326263836673042,-0.686290498927349
"Poland",9.407,87.49,0.2996,93.35,0.0519510025419015,0.0517466112549372,-0.102969914759545
"Portugal",6.547,59.02,0.1674,102.51,0,0.053602338902287,0.0948009809064483
"Qatar",35.888,62.5,0.0086,106.37,15.5544381427131,1.29033486013643,3.25581511718743
"Romania",4.416,51.35,0.4679,134.86,0.443053387963737,0.0569700360103424,-0.412235533906516
"Rwanda",0.636,5.39,0.1139,104.25,0,0,-0.843626527635312
"Samoa",4.079,0.43,0.2414,78.95,0,0,-0.416509166423795
"Saudi Arabia",18.934,49.56,0.1067,130.74,29.2983608589016,0.319342111594907,3.04686928329199
"Senegal",2.167,11.05,0.2068,153.41,0,0.000366158402060233,-0.729802112666413
"Serbia",7.101,41.66,0.3167,108.46,0.528302942633086,0.0379851494111907,-0.425686483524344
"Seychelles",8.033,30.16,0.016,99.24,0,0,2.75272102664054
"South Africa",9.006,30.69,0.2148,108.56,0.0050808324285389,0.0080014720775023,-0.370612661845107
"Spain",6.705,61.63,0.3592,120.58,0.00190352739551264,0.0642981840538758,0.349923092564105
"Sri Lanka",1.75,29.02,0.1117,98.23,0,0,-0.624542062271735
"Sudan",3.125,7.69,0.5074,119.48,3.80539357893002,0,-0.732257878817482
"Suriname",22.83,102.66,0.1181,92.93,5.97358427767989,0,0.250128513641234
"Sweden",3.014,72.37,0.2552,62.16,0,0.00793610242968307,0.360620417027985
"Switzerland",5.135,105.23,0.0497,104.53,0,0.0400262658267505,0.248011911192726
"Tajikistan",1.657,7.66,0.1139,111.37,0.0912831393197168,0.000773066652799108,-0.766050189725212
"Thailand",6.211,68.87,0.317,105.08,0.714559342432267,0.074920378566162,0.00292325225077097
"Togo",1.171,7.34,0.3575,101.22,0,0,-0.801118058960098
"Tonga",3.392,2.05,0.3004,96.94,0,0,-0.458263889707918
"Trinidad and Tobago",16.57,138.3,0.0338,103.76,4.01249310175546,1.52392483793111,0.419962096394286
"Tunisia",3.226,17.35,0.4281,115.29,1.82340394259015,0.0435799746602199,-0.492584900597292
"Turkmenistan",21.378,190.72,0.3418,88.95,9.57305645249406,0.650127215941034,0.244345608968634
"Uganda",1.655,1.23,0.213,93.68,0,0,-0.837190358547244
"Ukraine",5.931,41.62,0.7628,112.41,0.37233645588712,0.067308531572419,-0.638401247687571
"United Arab Emirates",27.333,185.28,0.0085,96.77,16.582761616989,0.732480446153439,3.12416605563805
"Uruguay",9.97,78.95,0.6351,64.7,0,0.00154203489359385,-0.251311957450487
"Uzbekistan",7.148,163.27,0.136,85.26,1.82646056604276,0.123132581811927,-0.747135792994575
"Zambia",5.373,38.58,0.2211,107.42,0,0,-0.799014549637504
"Zimbabwe",8.226,12.22,0.284,127.59,0,0,-0.782105894096482
